Site,Year,Season,SurveyType,TideZone,Transect,Quad,Species,Density
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,30.96
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,3.096
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,3.096
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,3.096
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,30.96
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,15.48
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,30.96
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,30.96
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,6.192
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,30.96
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,1,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,2,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,1,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,1,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,1,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Calantica spinosa,26.14
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,3,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,1,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,2,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,2,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,2,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,2,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,1,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,4,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,5,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,2,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,4,Calantica spinosa,5.228
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,4,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,1,Calantica spinosa,10.456
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Calantica spinosa,52.28
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,3,Calantica spinosa,5.228
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,2,Calantica spinosa,5.228
TaurangaHead,2005,Winter,Quads_All_species,High,2,3,Calantica spinosa,10.456
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,3,Calantica spinosa,5.228
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,4,Calantica spinosa,26.14
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,4,Calantica spinosa,52.28
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,4,Calantica spinosa,5.228
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Calantica spinosa,52.28
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,5,Calantica spinosa,52.28
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,4,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,3,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,4,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,4,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,1,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,4,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,1,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,1,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,4,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,3,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,2,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,4,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,5,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,5,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,3,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,3,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,5,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,4,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,4,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,5,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,2,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,3,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,1,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,4,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,5,Calantica spinosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,5,Calantica spinosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Calantica spinosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,2,Calantica villosa,26.14
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,1,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,1,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,1,Calantica villosa,26.14
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Calantica villosa,5.228
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,3,Calantica villosa,156.84
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,1,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,2,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Calantica villosa,5.228
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,2,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,2,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,2,Calantica villosa,5.228
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,2,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,2,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,1,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Calantica villosa,26.14
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,4,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,5,Calantica villosa,52.28
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,5,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,2,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,4,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,4,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,1,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,3,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,2,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,3,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,3,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,4,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,5,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Calantica villosa,26.14
TaurangaHead,2006,Summer,Quads_All_species,High,2,4,Calantica villosa,5.228
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,3,Calantica villosa,52.28
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,1,Calantica villosa,156.84
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,1,Calantica villosa,26.14
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,3,Calantica villosa,5.228
TaurangaHead,2006,Winter,Quads_All_species,High,1,1,Calantica villosa,5.228
TaurangaHead,2006,Winter,Quads_All_species,High,1,4,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,1,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,1,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,1,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,1,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,3,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,2,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,2,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,4,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,5,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,5,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,3,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,3,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,5,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,4,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,2,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,4,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,5,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,1,1,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_All_species,High,2,2,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,1,2,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,3,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,High,3,1,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,4,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,5,Calantica villosa,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,5,Calantica villosa,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Calantica villosa,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,5,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,2,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,1,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,1,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,High,2,1,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,3,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,3,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,1,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,2,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,High,2,2,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,3,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,High,1,3,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,2,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,2,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,2,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,2,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,1,Chamaesipho brunnea,0
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,3,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,4,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,5,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,5,Chamaesipho brunnea,0
TaurangaHead,2006,Winter,Quads_All_species,Mid,2,2,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,5,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,4,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,4,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,1,Chamaesipho brunnea,0
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Chamaesipho brunnea,0
