Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab-aerated,Aerated,10,c8-1,Haustrum haustorium,Check datasheets,27,Haustrum scobina,Tauranga Head,11.1,,FALSE,0.229,TRUE,,100,0,,6/9/05 23:00,6/10/05 8:10,,6/12/05 2:20,6/12/05 10:10,,1.76,2.47,2.11,17:00:00,1.39,FALSE
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.4,,TRUE,0.05,TRUE,0.004,100,0,,6/9/05 23:10,6/10/05 8:15,,6/11/05 19:52,,YES,1.48,1.86,1.67,9:05:00,2.57,FALSE
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,5.3,,TRUE,0.086,TRUE,0.004,100,0,,6/12/05 17:08,6/12/05 18:08,,6/13/05 11:12,,YES,0.71,0.75,0.73,1:00:00,19.35,TRUE
2005,H-Times-TopLab,Aerated,10,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.8,,FALSE,0.073,FALSE,,95,0.002,,6/11/05 17:00,6/11/05 18:00,,6/12/05 15:00,6/12/05 16:15,,0.88,0.97,0.92,2:15:00,9.64,TRUE
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.7,,TRUE,0.055,TRUE,0.005,100,0,,6/15/05 3:10,,YES,6/18/05 6:52,,YES,3.15,3.15,3.15,0:00:00,100,TRUE
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.8,,TRUE,0.054,TRUE,0.006,100,0,,6/14/05 1:00,6/14/05 8:25,,6/15/05 2:00,,YES,0.73,1.04,0.89,7:25:00,3.13,FALSE
2005,H-Times-BottomLab,Neither,10,c19-1 (org.68),Haustrum haustorium,Check datasheets,49.9,Diloma aethiops,EPFS Lab Rocks,18.4,,FALSE,3.009,TRUE,,60,,,6/10/05 23:15,6/11/05 8:00,,6/13/05 3:45,,YES,1.82,2.19,2.01,8:45:00,2.67,FALSE
2005,H-Times-BottomLab,Aerated,10,c2-1,Haustrum haustorium,Check datasheets,41.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.5,,FALSE,0.083,FALSE,,90,0.003,,6/16/05 2:39,,YES,6/16/05 14:15,,YES,0.48,0.48,0.48,0:00:00,100,TRUE
2005,H-Times-BottomLab,Neither,10,c2-1 (org.69),Haustrum haustorium,Check datasheets,41.6,Siphonaria australis,EPFS & ?Lighthouse Reef,11.1,,FALSE,0.084,FALSE,,100,0,,6/11/05 17:10,6/12/05 13:15,,6/11/05 17:10,6/12/05 13:15,,0,0.84,0.42,40:10:00,0.59,FALSE
2005,H-Times-TopLab,Aerated,10,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.8,,FALSE,0.058,FALSE,,95,0.002,"interrupted by moving to video @ 21:20, took exactly 5 hours to commense feeding, ""true"" end time = 12:12 (noon)",6/12/05 18:00,6/12/05 23:55,,6/14/05 7:20,,YES,1.31,1.56,1.43,5:55:00,3.9,FALSE
2005,H-Times-BottomLab,Neither,10,c22-1,Haustrum haustorium,Check datasheets,24.8,Siphonaria australis,EPFS & ?Lighthouse Reef,8.2,,FALSE,0.038,FALSE,,100,0,,6/13/05 5:50,,YES,6/13/05 16:18,,YES,0.44,0.44,0.44,0:00:00,100,TRUE
2005,H-Times-BottomLab,Neither,10,c24-1,Haustrum haustorium,Check datasheets,19.3,Siphonaria australis,EPFS & ?Lighthouse Reef,10.7,,FALSE,0.069,FALSE,,100,0,,6/13/05 0:00,6/13/05 9:07,,6/13/05 12:57,,YES,0.16,0.54,0.35,9:07:00,2.57,FALSE
2005,H-Times-BottomLab,Neither,10,c4-1 (org.64),Haustrum haustorium,Check datasheets,47,Diloma aethiops,EPFS Lab Rocks,9.4,,FALSE,0.368,TRUE,,100,0,,6/9/05 23:10,6/10/05 8:15,,6/10/05 10:10,6/10/05 11:30,,0.08,0.51,0.3,10:25:00,2.25,FALSE
2005,H-Times-BottomLab,Neither,10,c9-1 (org.55),Haustrum haustorium,Check datasheets,47,Diloma aethiops,EPFS Lab Rocks,14.7,,FALSE,1.649,TRUE,,60,,,6/9/05 23:10,6/10/05 8:15,,6/10/05 20:45,,YES,0.52,0.9,0.71,9:05:00,2.57,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,10.9,,FALSE,0.081,FALSE,,100,0,,6/29/05 11:50,6/29/05 12:15,,6/29/05 13:09,6/29/05 14:12,,0.04,0.1,0.07,1:28:00,14.06,TRUE
2005,H-Times-TopLab-LowTemp,Aerated,10,c18-1,Haustrum haustorium,Check datasheets,36.3,Siphonaria australis,EPFS & ?Lighthouse Reef,8.2,,FALSE,0.043,FALSE,,100,0,,6/29/05 12:08,6/29/05 13:00,,6/29/05 16:02,6/29/05 16:51,,0.13,0.2,0.16,1:41:00,12.48,TRUE
2005,H-Times-TopLab-HighTemp,Aerated,19,c9-1,Haustrum haustorium,Check datasheets,39.5,Siphonaria australis,EPFS & ?Lighthouse Reef,13.5,,FALSE,0.131,FALSE,,100,0,,6/29/05 14:12,6/29/05 15:14,,6/29/05 19:51,6/29/05 21:41,,0.19,0.31,0.25,2:52:00,7.73,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7,,FALSE,0.024,FALSE,,100,0,,6/29/05 16:10,6/29/05 16:56,,6/29/05 19:51,6/29/05 21:41,,0.12,0.23,0.18,2:36:00,8.45,FALSE
2005,H-Times-TopLab-LowTemp,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,26.5,Siphonaria australis,EPFS & ?Lighthouse Reef,9.4,,FALSE,0.062,FALSE,,80,0.006,,6/29/05 16:51,6/29/05 18:48,,6/29/05 23:10,6/30/05 8:33,,0.18,0.65,0.42,11:20:00,2.07,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,8.1,,FALSE,0.037,FALSE,,100,0,,6/29/05 11:50,6/29/05 12:15,,6/29/05 23:16,6/30/05 8:44,,0.46,0.87,0.66,9:53:00,2.37,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c7-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,12.9,,FALSE,0.285,TRUE,,100,0,,6/29/05 13:40,6/29/05 14:12,,6/29/05 23:16,6/30/05 8:44,,0.38,0.79,0.59,10:00:00,2.34,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,12.5,,FALSE,0.204,FALSE,,98,0.003,,6/29/05 15:14,6/29/05 16:10,,6/29/05 23:16,6/30/05 8:44,,0.3,0.73,0.51,10:24:00,2.26,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c8-1,Haustrum haustorium,Check datasheets,24,Siphonaria australis,EPFS & ?Lighthouse Reef,8,,FALSE,0.03,FALSE,,100,0,,6/29/05 15:14,6/29/05 16:10,,6/29/05 23:16,6/30/05 8:44,,0.3,0.73,0.51,10:24:00,2.26,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c16-1,Haustrum haustorium,Check datasheets,33.8,Haustrum scobina,Tauranga Head,14.1,,FALSE,0.356,TRUE,,100,0,,6/29/05 16:56,6/29/05 18:54,,6/29/05 23:16,6/30/05 8:44,,0.18,0.66,0.42,11:26:00,2.06,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c15-1,Haustrum haustorium,Check datasheets,35.9,Haustrum scobina,Tauranga Head,15.4,,FALSE,0.519,TRUE,,100,0,,6/29/05 18:54,6/29/05 19:51,,6/29/05 23:16,6/30/05 8:44,,0.14,0.58,0.36,10:25:00,2.25,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,8.2,,FALSE,0.041,FALSE,,100,0,,6/29/05 19:51,6/29/05 21:41,,6/29/05 23:16,6/30/05 8:44,,0.07,0.54,0.3,11:18:00,2.08,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c27-1,Haustrum haustorium,Check datasheets,27.1,Haustrum scobina,Tauranga Head,13.7,,FALSE,0.273,TRUE,,100,0,,6/29/05 14:08,6/29/05 15:10,,6/30/05 3:48,7/1/05 9:07,,0.53,1.79,1.16,30:21:00,0.78,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,6.8,,FALSE,0.023,FALSE,,90,0.001,,6/29/05 23:16,6/30/05 8:44,,6/30/05 8:44,6/30/05 10:20,,0,0.46,0.23,11:04:00,2.12,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c9-1,Haustrum haustorium,Check datasheets,39.5,Siphonaria australis,EPFS & ?Lighthouse Reef,11.9,,FALSE,0.103,FALSE,,100,0,,6/29/05 23:16,6/30/05 8:44,,6/30/05 10:20,6/30/05 11:34,,0.07,0.51,0.29,10:42:00,2.19,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c4-1,Haustrum haustorium,Check datasheets,29.8,Haustrum scobina,Tauranga Head,12.1,,FALSE,0.207,TRUE,,100,0,,6/29/05 23:16,6/30/05 8:44,,6/30/05 11:34,6/30/05 12:44,,0.12,0.56,0.34,10:38:00,2.21,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7,,FALSE,0.019,FALSE,,100,0,,6/29/05 23:16,6/30/05 8:44,,6/30/05 11:34,6/30/05 12:44,,0.12,0.56,0.34,10:38:00,2.21,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c18-1,Haustrum haustorium,Check datasheets,29.2,Haustrum scobina,Tauranga Head,13.4,,FALSE,0.348,FALSE,,100,0,,6/29/05 10:30,6/29/05 11:12,,6/30/05 12:42,6/30/05 14:25,,1.06,1.16,1.11,2:25:00,9.03,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,9.4,,FALSE,0.088,TRUE,,100,0,,6/29/05 10:30,6/29/05 11:12,,6/30/05 12:42,6/30/05 14:25,,1.06,1.16,1.11,2:25:00,9.03,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c6-1,Haustrum haustorium,Check datasheets,30.2,Haustrum scobina,Tauranga Head,15.9,,FALSE,0.63,TRUE,,100,0,,6/29/05 16:56,6/29/05 18:54,,6/30/05 14:29,6/30/05 15:52,,0.82,0.96,0.89,3:21:00,6.69,FALSE
2005,H-Times-TopLab-LowTemp,Aerated,10,c18-1,Haustrum haustorium,Check datasheets,36.3,Siphonaria australis,EPFS & ?Lighthouse Reef,9.1,,FALSE,0.053,FALSE,,100,0,,6/30/05 8:33,6/30/05 10:13,,6/30/05 15:43,7/1/05 8:40,,0.23,1,0.62,18:37:00,1.27,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c25-1,Haustrum haustorium,Check datasheets,28.4,Haustrum scobina,Tauranga Head,14.5,,FALSE,0.259,TRUE,,100,0,,6/29/05 16:54,6/29/05 18:51,,6/30/05 15:48,7/1/05 9:07,,0.87,1.68,1.27,19:16:00,1.23,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c5-1,Haustrum haustorium,Check datasheets,42.9,Haustrum scobina,Tauranga Head,13.4,,FALSE,0.244,TRUE,,100,0,,6/29/05 23:13,6/30/05 8:39,,6/30/05 15:48,7/1/05 9:07,,0.3,1.41,0.86,26:45:00,0.89,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c18-1,Haustrum haustorium,Check datasheets,44.1,Haustrum scobina,Tauranga Head,15.9,,FALSE,0.578,TRUE,,100,0,,6/29/05 10:10,6/29/05 10:15,,6/30/05 15:52,7/1/05 8:52,,1.23,1.95,1.59,17:05:00,1.39,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c13-1,Haustrum haustorium,Check datasheets,34.9,Haustrum scobina,Tauranga Head,14.4,,FALSE,0.379,TRUE,,100,0,,6/29/05 19:51,6/29/05 21:41,,6/30/05 15:52,7/1/05 8:52,,0.76,1.54,1.15,18:50:00,1.26,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,15.3,,FALSE,0.218,FALSE,,98,0.002,,6/29/05 23:16,6/30/05 8:44,,6/30/05 15:52,7/1/05 8:52,,0.3,1.4,0.85,26:28:00,0.9,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c1-1,Haustrum haustorium,Check datasheets,31.7,Haustrum scobina,Tauranga Head,17.2,,FALSE,0.797,TRUE,,50,,digestive (?) not eaten,6/30/05 10:20,6/30/05 11:34,,6/30/05 15:52,7/1/05 8:52,,0.18,0.94,0.56,18:14:00,1.3,FALSE
2005,H-Times-TopLab-LowTemp,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,26.5,Siphonaria australis,EPFS & ?Lighthouse Reef,10,,FALSE,0.06,FALSE,,95,0.004,,6/30/05 15:43,7/1/05 8:40,,7/1/05 8:40,7/1/05 18:23,,0,1.11,0.56,26:40:00,0.89,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c23-1,Haustrum haustorium,Check datasheets,24.7,Haustrum scobina,Tauranga Head,11.4,,FALSE,0.194,TRUE,,100,0,,6/29/05 10:10,6/29/05 10:15,,7/1/05 8:52,7/1/05 18:37,,1.94,2.35,2.15,9:50:00,2.38,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c21-1,Haustrum haustorium,Check datasheets,23.8,Haustrum scobina,Tauranga Head,15,,FALSE,0.392,TRUE,,100,0,,6/29/05 14:12,6/29/05 15:14,,7/1/05 8:52,7/1/05 18:37,,1.73,2.18,1.96,10:47:00,2.18,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c2-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,12,,FALSE,0.272,TRUE,,100,0,,6/29/05 23:16,6/30/05 8:44,,7/1/05 8:52,7/1/05 18:37,,1.01,1.81,1.41,19:13:00,1.23,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c7-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,15.7,,FALSE,0.582,TRUE,,100,0,,6/30/05 8:44,6/30/05 10:20,,7/1/05 8:52,7/1/05 18:37,,0.94,1.41,1.18,11:21:00,2.07,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c8-1,Haustrum haustorium,Check datasheets,24,Siphonaria australis,EPFS & ?Lighthouse Reef,10.2,,FALSE,0.054,FALSE,,100,0,,6/30/05 8:44,6/30/05 10:20,,7/1/05 8:52,7/1/05 18:37,,0.94,1.41,1.18,11:21:00,2.07,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,11.7,,FALSE,0.098,FALSE,,98,0.001,,6/30/05 15:52,7/1/05 8:52,,7/1/05 8:52,7/1/05 18:37,,0,1.11,0.56,26:45:00,0.89,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,7.5,,FALSE,0.028,FALSE,,100,0,,7/1/05 8:52,7/1/05 18:37,,7/1/05 8:52,7/1/05 18:37,,0,0.41,0.2,19:30:00,1.22,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c16-1,Haustrum haustorium,Check datasheets,25.8,Haustrum scobina,Tauranga Head,13.6,,FALSE,0.388,FALSE,,95,,,6/29/05 13:06,6/29/05 14:08,,7/1/05 9:07,7/1/05 18:23,,1.79,2.22,2.01,10:18:00,2.28,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c4-1,Haustrum haustorium,Check datasheets,22.1,Haustrum scobina,Tauranga Head,13.2,,FALSE,0.273,TRUE,,100,0,,6/29/05 18:51,6/29/05 19:48,,7/1/05 9:07,7/1/05 18:28,,1.55,1.98,1.77,10:18:00,2.28,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c1-1,Haustrum haustorium,Check datasheets,33.9,Haustrum scobina,Tauranga Head,14.2,,FALSE,0.339,TRUE,,100,0,,6/29/05 21:38,6/29/05 23:13,,7/1/05 9:07,7/1/05 18:28,,1.41,1.87,1.64,10:56:00,2.15,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c12-1,Haustrum haustorium,Check datasheets,44.3,Haustrum scobina,Tauranga Head,14.9,,FALSE,0.625,TRUE,,100,0,,6/29/05 23:13,6/30/05 8:39,,7/1/05 9:07,7/1/05 18:28,,1.02,1.8,1.41,18:47:00,1.26,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,8.6,,FALSE,0.06,TRUE,,90,,,6/30/05 14:25,6/30/05 15:48,,7/1/05 9:07,7/1/05 18:28,,0.72,1.17,0.95,10:44:00,2.19,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c17-1,Haustrum haustorium,Check datasheets,22,Siphonaria australis,EPFS & ?Lighthouse Reef,7.6,,FALSE,0.022,FALSE,,100,0,,6/30/05 15:48,7/1/05 9:07,,7/1/05 9:07,7/1/05 18:28,,0,1.11,0.56,26:40:00,0.89,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,9.4,,FALSE,0.09,TRUE,,100,0,,7/1/05 9:07,7/1/05 18:28,,7/1/05 18:28,7/1/05 23:02,,0,0.58,0.29,13:55:00,1.7,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c15-1,Haustrum haustorium,Check datasheets,35.9,Haustrum scobina,Tauranga Head,16.4,,FALSE,0.723,TRUE,,95,,some digestive not eaten,6/30/05 15:52,7/1/05 8:52,,7/1/05 18:37,7/1/05 23:08,,0.41,1.3,0.85,21:31:00,1.1,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,18,c8-1,Haustrum haustorium,Check datasheets,24,Siphonaria australis,EPFS & ?Lighthouse Reef,11.1,,FALSE,0.094,FALSE,,99,0.001,,7/1/05 8:52,7/1/05 18:37,,7/1/05 18:37,7/1/05 23:08,,0,0.59,0.3,14:16:00,1.65,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c22-1,Haustrum haustorium,Check datasheets,28.4,Haustrum scobina,Tauranga Head,13.9,,FALSE,0.376,TRUE,,100,0,,6/30/05 3:48,7/1/05 9:07,,7/1/05 23:02,7/2/05 8:23,,0.58,2.19,1.39,38:40:00,0.62,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c14-1,Haustrum haustorium,Check datasheets,26.4,Siphonaria australis,EPFS & ?Lighthouse Reef,6.7,,FALSE,0.02,FALSE,,100,0,,6/30/05 15:48,7/1/05 9:07,,7/1/05 23:02,7/2/05 8:23,,0.58,1.69,1.14,26:40:00,0.89,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c5-1,Haustrum haustorium,Check datasheets,42.9,Haustrum scobina,Tauranga Head,12.8,,FALSE,0.318,TRUE,,100,0,,7/1/05 9:07,7/1/05 18:28,,7/1/05 23:02,7/2/05 8:23,,0.19,0.97,0.58,18:42:00,1.27,FALSE
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c17-1,Haustrum haustorium,Check datasheets,22,Siphonaria australis,EPFS & ?Lighthouse Reef,6.5,,FALSE,0.015,FALSE,,100,0,,7/1/05 9:07,7/1/05 18:28,,7/1/05 23:02,7/2/05 8:23,,0.19,0.97,0.58,18:42:00,1.27,FALSE
2005,H-Times-TopLab-HighTemp,Aerated,19,c22-1,Haustrum haustorium,Check datasheets,22.6,Haustrum scobina,Tauranga Head,13.5,,FALSE,0.266,TRUE,,100,0,,6/29/05 10:15,6/29/05 11:14,,7/1/05 23:08,7/2/05 8:30,,2.5,2.93,2.71,10:21:00,2.27,FALSE
